year,new_accounts,contributing,reduced,lapsed_holding,dormant,closed,holding,live_accounts,tier_none,tier_silver,tier_gold,tier_platinum,tier_sovereign,inflow_sip,inflow_spot,aum_usd,grams,bar_grams,fab_premium,gross_entry_fee,cost_of_revenue,gross_profit,cor_rail,cor_pricegap,cor_premium,cor_float,stream1_net,operating_cost,stream1_sip,stream1_spot,stream2,stream2_gross,stream3,stream4,stream5,stream6,revenue,cost_opex,cost_acquisition,cost_vault,cost_rewards,cost_card_fixed,cost_card_variable,cost_screening,cost_redemption,cost_oneoff,cost_family,cost_vat,total_cost,ebitda,tax,net_profit,active_cards,card_spend,partner_aum
1,687.3191735079096,508.2878371239204,2.713902256783,176.31743412720556,0.0,0.0,687.319173507909,511.0017393807034,324.7283080019761,186.27343137872734,0.0,0.0,0.0,168252.26019697372,63747.74134914482,204261.56015829317,1443.9527792895035,100,0.03,11420.813234660529,7496.484713180552,5715.716232788689,879.1090638368128,0.0,6617.3756493437395,0.0,3924.3285214799685,1381790.7389261448,2630.1932558271587,1294.1352656528097,0.0,0.0,1791.387711308712,0.0,0.0,0.0,13212.200945969242,1031907.4451492889,71807.469,9000.0,0.0,0.0,0.0,3715.6233156362323,0.1937905789432837,264880.0,65.74485919337852,414.2628114474187,1389287.2236393252,-1376075.022693356,0.0,-1376075.022693356,0.0,0.0,0.0
2,1997.0537485270872,1805.4252664924618,14.970023061104147,733.5342728802997,130.44335960113128,0.0,2684.372922034997,1820.395289553566,931.6071444372332,603.0838284038105,285.70431671252237,0.0,0.0,684508.7191100887,315735.502064613,1017813.0666477174,7195.059144971846,100,0.03,47939.753602059114,32422.840494486267,48488.71403528924,3853.706467306994,0.0,28569.134027179272,0.0,15516.913107572822,1603688.168867415,9528.015068006318,5988.898039566504,10438.316554663517,24101.53418667086,7551.325577378436,11423.777559539434,11.71456946833594,3546.6666666666674,80911.5545297755,1192011.2652570945,202288.5705150084,9000.0,0.0,188000.0,6083.718351365515,4518.051304281614,1.6478508031938819,0.0,286.68634690583656,1498.2292419558646,1636111.0093619013,-1555199.454832126,0.0,-1555199.454832126,185.70780586313955,1338974.1214817145,7093333.333333334
3,3969.977877434634,4146.099203214996,44.97949895751376,1775.2159466662954,688.0561506308283,0.0,6654.350799469634,4191.07870217251,1859.6979943787835,1282.4215216056643,1048.9591861880576,0.0,0.0,1651349.7383322031,867198.4896079431,2935328.587419691,20750.237434042774,100,0.03,93471.18811208774,90999.16282965086,240325.5918632787,9764.96516707096,3536.5,72752.31119484175,4945.386467738153,2472.0252824368226,2112707.3839049847,-3099.3334714622197,5571.358753899042,72760.40951066582,133667.8922696862,18644.80885241719,60154.9574416929,373.39077606594003,85920.0,331324.75469292956,1475188.5950104245,392371.30326933967,9000.0,9500.705306719561,180000.0,34380.45667398264,9065.646198131746,6.027876092282068,0.0,723.403619014004,2471.245951280207,2203706.5467346353,-1872381.792041706,0.0,-1872381.792041706,681.8234710222375,7425994.014982568,21840000.0
4,5680.170845809631,7034.728614603649,97.79582446677719,3144.1599596805754,2057.837246528247,0.0,12334.521645279247,7132.524439070426,2673.69007307083,1996.5628351254547,2307.90930774867,154.36222312548568,0.0,2967521.558960318,1756088.7530740553,6206643.462384144,43875.607679797424,100,0.03,171666.26222050152,166210.68160098078,606404.6857568099,18157.9025827221,3536.5,136558.32149441616,7957.957523842507,5455.580619520566,2568421.5052955416,-5556.88909970257,11012.469719223136,214748.33009995706,354434.0176443796,33775.402343129215,153845.54246842058,1139.8302257823088,197440.0,772615.3673577907,1671281.95425748,562048.8799047851,11639.14114294567,33104.790935574456,180000.0,90932.78189200028,13988.194263306927,15.208942554411381,0.0,1339.2856515970223,4071.268305297783,2734632.1868965225,-1962016.8195387318,0.0,-1962016.8195387318,1600.4764950682013,19513235.335208014,43653333.333333336
5,7230.117325954915,10237.824159745527,172.9282038722653,4634.079354826672,4519.807252789725,0.0,19564.638971234188,10410.752363617792,3404.4460761358137,2714.428741475427,3722.3341159080837,569.5434300984647,0.0,4468855.014665104,2929673.0159519836,10812353.448841415,76433.99864867394,1000,0.02,264073.5427983369,233332.27401032756,1142402.2717151116,28048.953465587903,27407.875,158021.1595775926,19854.285967147032,30741.268788009413,3139862.3824706883,734.9955247088187,30006.273263300594,424423.452157387,696396.0607237904,50946.39781072789,288786.65481792,2464.498141067389,345040.0,1375734.5457254392,1911078.3953596284,748070.1521927393,21514.123968024833,73996.4520997266,180000.0,178069.70242337714,19204.143289948563,30.03174581003305,0.0,2060.226477520445,5839.154913912687,3373194.656481016,-1997460.1107555765,0.0,-1997460.1107555765,2789.7204049042566,37894468.694966264,70453333.33333333
6,8408.380918275257,13420.981825994766,266.3923823978303,6093.35827228174,8192.287408835096,0.0,27973.019889509436,13687.374208392597,3956.9898388341094,3334.0392701959527,5056.618111737574,1298.532612615403,41.19437500957437,6010665.597895287,4315363.147406123,16568752.958124517,117126.77052258246,1000,0.02,311042.50663183327,299335.3294670683,1753125.2910681143,38503.29333844749,35365.0,200299.72477339153,25167.31135522932,11707.177164764726,3792271.8859802242,-17971.782360113823,29678.959524878544,698173.0515104363,1138338.450209732,68375.93274153228,449136.5080334271,4292.621617953684,521440.0,2052460.6205351828,2178469.480621483,937562.8085941321,34657.19704750857,137479.92034565806,180000.0,290532.0763052373,24222.281588189988,50.57560939749269,0.0,2816.6989222428483,6480.846946374796,4091607.2154472927,-2039146.59491211,0.0,-2039146.59491211,4157.624314585658,61176883.316102184,102053333.33333333
7,9130.442959441907,16285.204710238131,371.35384852096803,7375.05165343197,13071.852636760308,0.0,37103.46284895137,16656.558558759098,4293.937178702641,3787.674985358287,6243.502621532942,2180.7992637618427,150.64450940336724,7440101.855705019,5798960.204928793,23018151.4349193,162718.44645072316,1000,0.02,391879.54763543146,369223.2064530554,2463432.7456528354,48507.189320156336,35365.0,256943.65025996763,28407.36687293138,22656.34118237591,4495797.168314861,-18471.494440957737,41127.835623333645,1016254.9793164422,1647539.2805699564,84281.9848647337,620329.0747501336,6470.365539149725,713440.0,2832655.9521058905,2455768.347951384,1127224.4891191055,50087.61652747396,221708.9248459926,180000.0,420953.48423033644,28734.249631162256,75.98103478596137,0.0,3534.5190531157587,7709.555921505104,4865020.374767916,-2032364.4226620258,0.0,-2032364.4226620258,5573.715156553799,87571410.73384199,134053333.33333333
8,9390.980471805009,18607.11217609609,479.51213805513754,8374.052388653312,19033.766617951824,0.0,46494.44332075636,19086.624314151228,4416.153550890656,4052.9691092771654,7155.6485660370645,3099.594259457571,362.2588284887435,8634306.6655842,7117401.716915301,29587088.399827994,209155.156226693,1000,0.02,379950.1317613665,431055.6007879771,3095576.3753937446,57141.204664556906,35365.0,307435.16501476266,31114.23110865752,-51105.469026611165,5212702.370538893,-64808.82437596356,13703.35534935239,1349896.845484021,2177485.22354976,97310.27240686658,785297.6879992713,8737.03853019609,905440.0,3526631.9761817213,2728411.8857573443,1313951.5791866567,66569.23581141903,321208.25228161487,180000.0,558634.4299057829,32562.67996814987,104.5436148748301,0.0,4151.819373816748,7107.944639233749,5643757.97132687,-2117125.9951451486,0.0,-2117125.9951451486,6901.376075089197,114655916.06090021,166053333.33333334
9,9145.849318984732,20186.116579797388,582.1213471067305,9009.302256495464,25862.752456341503,0.0,55640.29263974109,20768.23792690412,4309.5743047115675,4099.434803370383,7740.828308658188,3982.931184186066,635.4693259778911,9496541.255152624,7843154.4519759,35317866.32823216,249666.8056569501,1000,0.02,410307.3020965514,470558.0686454035,3736029.7325053243,63536.67103308477,35365.0,338587.76810063946,33068.62951167928,-60250.766548852574,5893292.507618166,-73268.2020397757,13017.435490923126,1669862.4465546184,2681713.3446803656,106366.97514069562,929568.0197287173,10723.057630145004,1079760.0,4206587.801150728,2984590.787068968,1479929.961423612,81974.79151998734,427390.00369108084,180000.0,691764.4807986264,35448.83257245386,132.99636364155708,0.0,4616.481562112564,7444.172617682525,6363850.576263568,-2157262.775112841,0.0,-2157262.775112841,8033.498732234394,140058234.070898,190960000.0
10,8557.198703680797,20989.64270760116,671.3108515996571,9263.840997982295,33272.69678623851,0.0,64197.49134342163,21660.953559200818,4046.6990269871762,3965.4978854773503,7955.309718521659,4739.256661150571,954.1902670641103,9985418.611967096,8231342.399752469,39790584.11661284,281285.0566705276,1000,0.02,423097.78811263334,492875.0431264797,4263432.621982489,67460.02713388238,35365.0,355873.2644721386,34176.751520458754,-69777.25501384691,6506946.119187855,-80548.2103226596,10770.95530881268,1947884.743172392,3115844.52885627,111064.56715861434,1040925.9174317713,12134.64923355692,1221200.0,4756307.6651089685,3219856.1411140906,1623204.5794793083,94660.19275059718,530522.4640666877,180000.0,808679.1973292851,37541.39268867422,158.2015292745675,0.0,4902.54484367935,7421.4053862579585,6999821.162314335,-2243513.4972053664,0.0,-2243513.4972053664,8871.69182037862,161562001.23760003,215306666.6666667
